label,value
0,0.176405235
0,0.137560882
0,0.289215515
0,0.501874436
0,0.54030919
0,0.318007018
0,0.556948608
0,0.475256919
0,0.162434536
0,0.53145249
0,0.476344123
0,0.561162157
0,0.429657163
0,0.289952618
0,0.235728039
0,0.130912594
0,0.149407907
0,-0.118060987
0,-0.160034946
0,-0.36319469
1,-0.608852372
0,-0.350372947
0,-0.375496146
0,-0.564609142
0,-0.273024538
0,-0.635829208
0,-0.457363915
1,-0.434453191
0,-0.200275469
0,-0.13084924
0,-0.175846974
0,-0.059728909
0,-0.088778575
0,-0.100534486
0,0.156550501
0,0.293420013
0,0.476582459
0,0.535972791
0,0.423207085
0,0.460162365
0,0.395144703
0,0.348390846
0,0.291312747
0,0.610812346
0,0.302588172
0,0.233977686
0,0.06606218
0,0.175294197
0,-0.161389785
0,-0.118819189
0,-0.280888372
0,-0.239094867
0,-0.404633904
0,-0.533798025
0,-0.464757989
0,-0.447559453
0,-0.493348278
1,-0.46014545
0,-0.525371976
0,-0.452008923
0,-0.420799435
0,-0.313740433
0,-0.272656344
0,-0.270173421
0,0.017742614
0,0.057367067
1,0.028321881
0,0.324063342
0,0.262823554
0,0.420929346
0,0.534848822
0,0.503290931
0,0.613940068
1,0.366910058
0,0.50217393
0,0.347253797
1,0.266473676
0,0.21990015
0,0.160186463
0,0.103161695
0,-0.116514984
0,-0.007462512
0,-0.144775472
0,-0.431409485
0,-0.204728171
0,-0.226145889
0,-0.344061809
0,-0.508385124
0,-0.607075262
0,-0.384947468
0,-0.502257461
0,-0.293490299
0,-0.332725893
0,-0.180121213
0,-0.155705076
0,-0.026887844
0,0.001050002
0,0.27613221
0,0.204032925
0,0.317984053
0,0.54186846
0,0.2809589
0,0.334891266
0,0.587332311
0,0.382687659
0,0.684754759
0,0.420577868
0,0.340989325
0,0.545847593
0,0.425836596
0,0.378097612
0,0.188149627
0,-0.086122569
0,0.093461334
0,-0.218142053
0,-0.197539477
0,-0.258828194
0,-0.431235815
0,-0.400531829
0,-0.398171973
0,-0.462357447
0,-0.600332719
0,-0.432115949
0,-0.283096216
0,-0.423010177
0,-0.292748571
0,-0.234857071
0,0.087381212
0,0.067229476
0,0.138291345
0,0.114350109
0,0.331710036
0,0.286120125
0,0.418917862
0,0.398355158
0,0.55803597
0,0.557659082
0,0.469562765
0,0.501540438
0,0.306428655
0,0.204427631
0,0.321724287
0,0.208009066
0,0.161048305
0,0.238314477
0,-0.003097212
0,-0.282623939
0,-0.166083488
0,-0.485144132
0,-0.461893267
0,-0.468763927
0,-0.319058368
0,-0.574475482
0,-0.573036494
0,-0.471785019
0,-0.482082635
0,-0.240889798
0,-0.385778267
0,-0.306088581
0,-0.141327165
0,-0.049803245
0,0.290498366
0,0.286283797
0,0.286540241
0,0.231009839
0,0.500171104
0,0.361918232
0,0.335915531
0,0.618802979
0,0.522086901
0,0.554025649
0,0.447607571
0,0.439236452
0,0.212682557
0,0.087917432
0,0.165704613
0,-0.080340966
0,-0.166500139
0,-0.236894967
0,-0.276037201
0,-0.388952782
0,-0.553229935
0,-0.526301607
0,-0.712732955
0,-0.437476855
0,-0.650598406
0,-0.5723781
0,-0.410518298
0,-0.42750969
0,-0.123483657
0,-0.320627407
0,-0.070840074
0,-0.003928282
0,-0.019264189
0,0.243669382
0,0.260630483
0,0.430732446
0,0.498085222
0,0.678263361
0,0.624045435
0,0.463081816
0,0.466454722
0,0.571905726
0,0.481261179
0,0.417566543
0,0.116089512
0,0.188909104
0,0.02374207
0,0.02799246
0,-0.1073602
0,-0.100323825
0,-0.246063295
0,-0.274920594
0,-0.462376716
0,-0.556384392
0,-0.53139761
0,-0.501702041
0,-0.452477467
0,-0.236008871
0,-0.419960521
0,-0.449147891
0,-0.312383294
0,-0.237701314
0,-0.049397014
0,-0.154079701
0,0.10387136
0,0.20699237
0,0.30100322
0,0.293821784
0,0.391942633
0,0.319533675
0,0.441060652
0,0.445713852
0,0.531997645
0,0.346321523
0,0.493854616
0,0.503001845
0,0.070786614
0,0.233967589
0,0.165235965
0,-0.063743703
0,-0.137272342
0,-0.204629774
0,-0.307564204
0,-0.384454687
0,-0.583335187
0,-0.34670661
0,-0.382430781
0,-0.581336426
0,-0.637035073
0,-0.409833279
0,-0.473313603
0,-0.339358074
0,-0.309717958
0,-0.122187841
0,-0.028070247
0,-0.072559738
0,-0.040791235
0,0.033047876
0,0.338823054
0,0.234667465
0,0.365053171
0,0.402308362
0,0.485135911
0,0.306372019
0,0.5092705
0,0.514328869
0,0.424577015
0,0.322464773
0,0.287525133
0,0.231246351
0,-0.179714115
0,0.195591231
0,-0.058535829
0,-0.256582574
0,-0.316880454
0,-0.304179213
0,-0.4273452
0,-0.665008213
0,-0.283943354
0,-0.511054066
0,-0.388375369
0,-0.531144751
0,-0.262097101
0,-0.324919022
0,-0.216900733
0,-0.295867053
0,0.023569368
0,0.068981816
0,0.227729784
0,0.12853296
0,0.229682405
0,0.58394506
0,0.309733224
0,0.448344796
0,0.604081776
0,0.509772497
0,0.548688008
0,0.421994863
0,0.452740395
0,0.222900705
0,0.443598184
0,0.179525312
0,0.029527341
0,0.066638308
0,-0.14361714
0,-0.324767563
0,-0.412456867
0,-0.284176075
0,-0.43169215
0,-0.475309922
0,-0.38261826
0,-0.612682581
0,-0.563460415
0,-0.500427747
0,-0.406299647
0,-0.357770536
